Resp1,Resp2,HR1,HR2
-0.3802124,5.27631434706372,108.206,82.1918
-0.83413414,5.27631434706372,108.206,82.1918
-1.4239688,5.27631434706372,108.206,82.1918
-2.1374478,5.27631434706372,108.206,82.1918
-2.7441309,5.27631434706372,108.206,82.1918
-3.1569459,5.27631434706372,108.206,82.1918
-3.3946717,5.27631434706372,108.206,82.1918
-3.3818881,5.27631434706372,108.206,82.1918
-2.9343692,4.1081451,106.56575,82.1918
-2.2728879,4.2942626,104.561,82.1918
-1.6941591,4.4870945,104.561,82.1918
-1.3470027,4.6456481,104.561,82.1918
-1.2874569,4.7473844,104.561,82.1918
-1.2971255,4.8121033,104.561,52.602752
-1.1961917,4.8802489,104.561,20.445594
-0.78547956,4.9834441,104.561,26.2123
0.1317504587,5.1100586,104.561,26.2123
1.35957667,5.2023163,104.561,26.2123
2.4604119,5.2340863,101.665835,26.2123
3.0941443,5.2124971,98.1273,48.393342
3.1690192,5.1350008,98.1273,111.524
3.009594,5.0285797,98.1273,111.524
2.9003237,4.9392272,98.1273,111.524
2.7903166,4.8602416,98.1273,114.542
2.6848846,4.7653078,98.1273,136.674
2.6006961,4.6701108,98.1273,136.674
2.4543914,4.5945039,98.1273,136.674
2.2496153,4.5397704,98.1273,141.34262
2.0842745,4.507986,98.305005,157.895
1.994009,4.4763551,98.5222,157.895
1.9563598,4.4429392,98.5222,157.895
1.8785399,4.4465552,98.5222,157.895
1.716849,4.499585,98.5222,157.895
1.5162471,4.5647278,98.5222,157.895
1.3054628,4.6115841,98.5222,157.895
1.1415315,4.6361974,98.5222,157.895
0.93880019,4.662509,98.5222,157.895
0.6408752,4.7237334,98.5222,157.895
0.32574473,4.807199,99.18721,157.895
0.08526,4.8826663,100,157.895
-0.0328399709,4.9778378,100,94.221872
-0.047183228,5.0887662,100,93.4579
-0.0053344711,5.1919679,100,93.4579
-0.045013434,5.2853733,100,93.4579
-0.2819458,5.3761624,100,93.4579
-0.27192384000000003,5.4460179,100,93.4579
0.2084106723,5.4849941,100,139.46599
0.97203964,5.5018618,100,144.578
1.7424493,5.4946502,99.707995,144.578
2.32702,5.4852416,99.3511,134.39036
2.5755796,5.4903104,99.3511,116.279
2.4391697,5.5169132,99.3511,116.279
2.0390713,5.5516419,99.3511,116.279
1.4197234,5.5907534,99.3511,116.279
0.68872066,5.6307063,99.3511,116.279
0.0355163252,5.6655215,99.3511,116.279
-0.52643435,5.6800417,99.3511,116.279
-0.87677613,5.6667696,99.3511,116.279
-0.68581239,5.6331265,99.34507,116.279
-0.2743225,5.5975036,99.3377,116.279
-0.00599975257,5.5779938,99.3377,116.279
0.092904711,5.5914704,99.3377,116.279
0.11836846,5.627008,99.3377,116.279
0.0787384256,5.6697601,99.3377,116.279
-0.1471587781,5.6870969,99.3377,116.279
-0.52093813,5.6730232,99.3377,116.279
-0.90957946,5.6630607,99.3377,116.279
-1.2045443,5.6641867,99.3377,116.279
-1.3644957,5.6685532,97.50593,116.279
-1.5545739,5.6695361,95.2671,116.279
-1.9299382,5.6665106,95.2671,116.279
-2.3183504,5.655224,95.2671,116.279
-2.5921082,5.6383457,95.2671,10.17898
-2.7494685,5.615854,95.2671,26.178
-2.808823,5.5816253,95.2671,26.178
-2.7844692,5.5478823,95.2671,26.178
-2.6318786,5.5251311,95.2671,161.69976
-2.2163305,5.5064489,95.2671,180.18
-1.591864,5.4791534,93.555435,180.18
-0.90858473,5.4333801,91.4634,180.18
-0.2258544647,5.3841154,91.4634,180.18
0.38074031,5.3382568,91.4634,146.21498
0.77616881,5.2881987,91.4634,107.914
0.90813596,5.2435824,91.4634,107.914
0.84410095,5.2135799,91.4634,107.914
0.64159853,5.1875919,91.4634,107.914
0.31835936,5.1481598,91.4634,107.914
-0.13101197363,5.1063899,91.4634,107.914
-0.78615438,5.0792357,93.27042,107.914
-1.6865172,5.0747549,95.479,107.914
-2.5604157,5.0715061,95.479,107.914
-3.2094515,5.057663,95.479,107.914
-3.6250706,5.0567375,95.479,107.914
-3.8423337,5.0706912,95.479,107.914
-3.9258088,5.0877076,95.479,107.914
-3.9358607,5.0884311,95.479,107.914
-3.9217653,5.0676389,95.479,107.914
-3.919342,5.050955,95.479,107.914
-3.9180199,5.0358833,97.370035,107.914
-3.9042137,5.0108552,99.6813,107.914
-3.882331,4.9861631,99.6813,107.914
-3.8706892,4.977241,99.6813,107.914
-3.8821594,4.9883088,99.6813,107.914
-3.898364,5.0060212,99.6813,93.568625
-3.9125781,5.0100922,99.6813,26.6667
-3.9228345,4.9945832,99.6813,26.6667
-3.9326563,4.9665834,99.6813,26.6667
-3.9220667,4.9401819,99.6813,26.6667
-3.7697143,4.9160345,101.296215,158.73
-3.4962006,4.9175358,103.27,158.73
-3.2095121,4.9497676,103.27,158.73
-2.8949675,4.9727964,103.27,158.73
-2.5403014,4.973448,103.27,158.73
-2.1415772,4.9698514,103.27,158.73
-1.6729222,4.9554897,103.27,158.73
-1.17444488,4.9167296,103.27,158.73
-0.70686644,4.9179506,103.27,158.73
-0.3555176,4.9947024,103.27,158.73
-0.0363220317,5.1008298,104.845,158.73
0.24265137,5.1870028,106.77,158.73
0.37613824,5.237689,106.77,158.73
0.3244171,5.2643864,106.77,158.73
0.08697204972,5.2621428,106.77,158.73
-0.35060421,5.2158816,106.77,158.73
-0.93048094,5.1342528,106.77,158.73
-1.5791839,5.0544555,106.77,158.73
-2.2290831,5.0009158,106.77,158.73
-2.7488315,4.9740784,106.77,158.73
-3.1176996,4.9642665,107.1543,158.73
-3.3865846,4.9628437,107.624,158.73
-3.5713557,4.9655888,107.624,40.660329
-3.6841463,4.9599794,107.624,26.6667
-3.7497039,4.9399412,107.624,26.6667
-3.6319031,4.9367552,107.624,91.142286
-3.3120879,4.9894257,107.624,180.18
-3.1032652,5.0906248,107.624,180.18
-2.8761992,5.2005099,107.624,180.18
-2.6923613,5.3162841,107.624,180.18
