"",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S","filename"
"1","1",11.010608,136.674,122.699,2.4388008,4.1694515,-0.358083312153774,0.219361280463521,2.16947130234018,1.71428289239828,"Study2_G10_T1_Conversation.csv"
"2","2",11.012275,136.674,122.699,2.4498995,4.1280123,-0.333439840194875,0.180508766563891,2.16947130234018,1.71428289239828,"Study2_G10_T1_Conversation.csv"
"3","3",11.013941,136.674,124.67786,2.4559887,4.0948796,-0.319919425240679,0.149444250663916,2.16947130234018,1.91444066228799,"Study2_G10_T1_Conversation.csv"
"4","4",11.015607,136.674,125,2.4639435,4.0816295,-0.302256645749507,0.137021238288641,2.16947130234018,1.94702448529329,"Study2_G10_T1_Conversation.csv"
"5","5",11.017277,137.31904,125,2.4762699,4.0231382,-0.27488719772819,0.0821810375546155,2.22856316905019,1.94702448529329,"Study2_G10_T1_Conversation.csv"
"6","6",11.018943,137.407,125,2.4777836,3.9188352,-0.271526189366474,-0.0156112402227811,2.23662115087428,1.94702448529329,"Study2_G10_T1_Conversation.csv"
"7","7",11.020607,137.407,125.222,2.4632632,3.799664,-0.303767178872633,-0.127343626572797,2.23662115087428,1.96947934562475,"Study2_G10_T1_Conversation.csv"
"8","8",11.022275,137.407,126.85,2.4513854,3.6704164,-0.330140558748964,-0.248523431576123,2.23662115087428,2.1341483213888,"Study2_G10_T1_Conversation.csv"
"9","9",11.023941,137.407,126.85,2.4514984,3.5558504,-0.32988965437896,-0.355938080204113,2.23662115087428,2.1341483213888,"Study2_G10_T1_Conversation.csv"
"10","10",11.025609,137.407,126.85,2.4600747,3.562637,-0.310846900852771,-0.349575108167219,2.23662115087428,2.1341483213888,"Study2_G10_T1_Conversation.csv"
"11","11",11.027276,137.407,126.85,2.458963,3.4211093,-0.31331531136722,-0.48226847414515,2.23662115087428,2.1341483213888,"Study2_G10_T1_Conversation.csv"
"12","12",11.028942,137.407,127.3369,2.4671973,2.9008032,-0.295031932129005,-0.970096424064845,2.23662115087428,2.18339729208875,"Study2_G10_T1_Conversation.csv"
"13","13",11.030607,137.407,127.932,2.5143881,2.2211517,-0.190249826430313,-1.60732323709826,2.23662115087428,2.24359047849979,"Study2_G10_T1_Conversation.csv"
"14","14",11.032275,137.407,127.932,2.6042109,1.8091824,0.0091920589319274,-1.99357690402404,2.23662115087428,2.24359047849979,"Study2_G10_T1_Conversation.csv"
"15","15",11.033941,136.49092,127.932,2.6948883,1.8267422,0.210531491857043,-1.97711320845138,2.15269941384138,2.24359047849979,"Study2_G10_T1_Conversation.csv"
"16","16",11.035609,136.366,127.932,2.758057,2.0338467,0.350790809356406,-1.7829364274101,2.14125554060962,2.24359047849979,"Study2_G10_T1_Conversation.csv"
"17","17",11.037276,136.366,130.18947,2.7952386,2.2772218,0.433348560893707,-1.55475310206661,2.14125554060962,2.47192909810548,"Study2_G10_T1_Conversation.csv"
"18","18",11.03894,136.366,130.719,2.8075263,2.5783538,0.460632079719279,-1.27241813383307,2.14125554060962,2.52549000887719,"Study2_G10_T1_Conversation.csv"
"19","19",11.040608,136.366,130.719,2.7943539,2.9412445,0.43138417951192,-0.932179520013389,2.14125554060962,2.52549000887719,"Study2_G10_T1_Conversation.csv"
"20","20",11.042275,136.366,130.719,2.7502255,3.3085359,0.333401804279584,-0.587814903328836,2.14125554060962,2.52549000887719,"Study2_G10_T1_Conversation.csv"
"21","21",11.043942,136.366,131.30754,2.7034546,3.656949,0.229552041456683,-0.261150179816723,2.14125554060962,2.58501966428024,"Study2_G10_T1_Conversation.csv"
"22","22",11.045608,136.366,132.45,2.6853862,3.9783115,0.18943309881095,0.0401524755933679,2.14125554060962,2.70057723065088,"Study2_G10_T1_Conversation.csv"
