Resp1,Resp2,HR1,HR2
-1.12129846,-3.9709384,109.392,96.4693
-1.9367342,-4.0167237,109.40694,96.4693
-2.6280608,-4.026556,109.89,96.4693
-3.0222747,-4.0423866,109.89,96.4693
-2.7483765,-4.0586662,109.89,96.4693
-1.7841219,-4.0565431,109.89,96.4693
-0.584966901,-3.9359835,109.89,96.4693
0.313107316,-3.4803133,109.89,96.4693
0.59523929,-2.4137545,109.89,96.4693
0.1701904092,-0.94630409,109.89,95.194684
-0.56513063,0.4603637579,109.89,94.9519
-1.22110577,1.5140898,109.95471,94.9519
-1.6782136,2.1452937,112.047,94.9519
-1.7907352,2.4178216,112.047,94.9519
-1.6373687,2.4234252,112.047,94.9519
-1.20858732,2.2880368,112.047,94.9519
-0.54362795,2.0948639,112.047,94.9519
0.325463856,1.7994904,112.047,94.9519
1.25768422,1.3899229,112.047,94.9519
2.0431418,0.94408557,112.047,93.453172
2.5031218,0.54074399,112.047,93.1677
2.507745,0.2832306,111.98028,93.1677
2.0474704,0.150421206,109.823,93.1677
1.27538733,0.0483398474,109.823,93.1677
0.56768803,-0.03092041193,109.823,93.1677
0.06612544997,-0.062625117,109.823,93.1677
-0.32862548,-0.094671653,109.823,93.1677
-0.84006651,-0.2188141,109.823,93.1677
-1.377481,-0.40209965,109.823,93.1677
-1.8132265,-0.57719725,109.823,92.813976
-2.126617,-0.70523987,109.823,92.7466
-2.1248782,-0.77488087,109.67519,92.7466
-1.6552249,-0.77706899,104.896,92.7466
-0.80479422,-0.76664129,104.896,92.7466
0.17586673127,-0.78237302,104.896,92.7466
1.02966892,-0.81344607,104.896,92.7466
1.4421083,-0.85171805,104.896,92.7466
1.15077215,-0.92374268,104.896,92.7466
0.4029357439,-0.99765623,104.896,92.7466
-0.4875183,-1.0536808,104.896,92.258812
-1.62800615,-1.1054201,104.896,92.1659
-3.1314666,-1.1972936,104.96917,92.1659
-4.5433408,-1.3441375,107.335,92.1659
-5.4456906,-1.5804962,107.335,92.1659
-5.6535711,-1.9472901,107.335,92.1659
-5.3796176000000004,-2.33833,107.335,92.1659
-5.1449096,-2.6945436,107.335,92.1659
-5.1823822,-2.9736544,107.335,92.1659
-5.3509823,-3.1823971,107.335,92.1659
-5.5540865,-3.4729983,107.335,93.872276
-5.724911,-3.9005554,107.335,94.1973
-5.7666439,-4.2833866,107.38174,94.1973
-5.6524446,-4.5188875,108.893,94.1973
-5.1928526,-4.6528715,108.893,94.1973
-4.456235,-4.7359065,108.893,94.1973
-3.7623134,-4.8068301,108.893,94.1973
-3.3613064,-4.9189363,108.893,94.1973
-3.5376037,-5.051245,108.893,94.1973
-3.8961277,-5.2048674,108.893,94.1973
